date,channel_id,video_id,video_thumbnail_impressions,video_thumbnail_impressions_ctr
2026-07-15,UCFFY072qzjDnmC_uA65zhQQ,-7RNcKxLsWc,17,0.058823529411764705
2026-07-15,UCFFY072qzjDnmC_uA65zhQQ,-KMuetmIAs0,1,0
2026-07-15,UCFFY072qzjDnmC_uA65zhQQ,0ZIO4anzY5I,18,0.055555555555555552
2026-07-15,UCFFY072qzjDnmC_uA65zhQQ,0rhTdpz0Jyc,4,0
2026-07-15,UCFFY072qzjDnmC_uA65zhQQ,1C8YIiELECI,22,0.045454545454545456
2026-07-15,UCFFY072qzjDnmC_uA65zhQQ,1XNo0hTd1Kc,126,0.015873015873015872
2026-07-15,UCFFY072qzjDnmC_uA65zhQQ,3s24LgNa3B0,7,0
2026-07-15,UCFFY072qzjDnmC_uA65zhQQ,4sxqdyUBRsI,7,0.14285714285714285
2026-07-15,UCFFY072qzjDnmC_uA65zhQQ,593yZokqVNU,128,0.015625
2026-07-15,UCFFY072qzjDnmC_uA65zhQQ,6LlydS0_23w,11,0
2026-07-15,UCFFY072qzjDnmC_uA65zhQQ,6irjGxFpmj4,1,0
2026-07-15,UCFFY072qzjDnmC_uA65zhQQ,744vAmBXikY,9,0.1111111111111111
2026-07-15,UCFFY072qzjDnmC_uA65zhQQ,7JTpRZ6EAj4,13,0.15384615384615385
2026-07-15,UCFFY072qzjDnmC_uA65zhQQ,8P-YiIGlBjE,4,0
2026-07-15,UCFFY072qzjDnmC_uA65zhQQ,9qhfAvXGR1U,1,0
2026-07-15,UCFFY072qzjDnmC_uA65zhQQ,AJmfMOm5Sls,8,0
2026-07-15,UCFFY072qzjDnmC_uA65zhQQ,BTCe24GOWqk,13,0.15384615384615385
2026-07-15,UCFFY072qzjDnmC_uA65zhQQ,BuNbDIm2ieg,7,0
2026-07-15,UCFFY072qzjDnmC_uA65zhQQ,BvnWdTTwSys,6,0
2026-07-15,UCFFY072qzjDnmC_uA65zhQQ,CVCUMNF_koE,4,0
2026-07-15,UCFFY072qzjDnmC_uA65zhQQ,DIhEv0TjUkY,9,0
2026-07-15,UCFFY072qzjDnmC_uA65zhQQ,EPazhvJ7Jd0,2,0
2026-07-15,UCFFY072qzjDnmC_uA65zhQQ,EXv89Z4tXZ0,16,0.0625
2026-07-15,UCFFY072qzjDnmC_uA65zhQQ,EwkXAwTL_QI,2,0
2026-07-15,UCFFY072qzjDnmC_uA65zhQQ,FQHJqEfpZz8,17,0.17647058823529413
2026-07-15,UCFFY072qzjDnmC_uA65zhQQ,FZazL5XS_fw,16,0
2026-07-15,UCFFY072qzjDnmC_uA65zhQQ,FdWxDjGBIM4,8,0
2026-07-15,UCFFY072qzjDnmC_uA65zhQQ,GNVK5JQjXos,3,0
2026-07-15,UCFFY072qzjDnmC_uA65zhQQ,Gp0dyrxdI_0,11,0
2026-07-15,UCFFY072qzjDnmC_uA65zhQQ,HXCcgOM0Uws,1,0
2026-07-15,UCFFY072qzjDnmC_uA65zhQQ,IaCjWJ3vy48,19,0.10526315789473684
2026-07-15,UCFFY072qzjDnmC_uA65zhQQ,IvAkc1fwzUc,25,0
