公開日,動画ID,企業名,証券コード,動画タイトル,長さ秒,視聴回数,公開日視聴回数,公開後3日視聴回数,公開後7日視聴回数,総再生時間_時間,平均視聴時間,平均視聴率_%,インプレッション数,CTR_%,チャンネル登録者増減,主テーマ,テーマタグ,フック型
2026-08-07,3ywF6CtsAk8,JDSC,,【JDSC】AWS採択で話題もPER22倍に放置される理由。高粗利AIと低粗利「DM発送代行」の二面性を徹底検証,496,109,43,77,106,3.7153,0:02:02,24.6,900,3.67,0,AI・半導体・データセンター,AI・半導体・データセンター | SaaS・IT・DX,提携・需要変化 × バリュエーション・需給
2026-08-06,Klgx3o8dnlA,レーザーテック,,【レーザーテック】営業減益でも受注高125.7%増の真実。業績のズレを生む「検収基準」と顧客集中リスク,486,353,250,320,347,21.9493,0:03:49,47.1,2375,11.79,0,その他,その他,矛盾・逆説 × 提携・需要変化
2026-08-05,D5PP0Ghhk_g,指月電機,,【指月電機】営業利益30億円へ上方修正！AI特需と「親会社離脱」がもたらす再評価シナリオを徹底検証,456,80,44,60,70,2.5313,0:01:53,24.8,1144,3.23,0,AI・半導体・データセンター,AI・半導体・データセンター | 資本政策・M&A・ガバナンス | 資源・素材・製造,業績サプライズ × 提携・需要変化
2026-08-03,Soqxdzul340,スズデン,,【スズデン】経常利益2.4倍・配当利回り7%超。AI半導体特需と高還元株の死角,463,18,5,6,15,1.1504,0:03:50,49.7,364,3.85,0,AI・半導体・データセンター,AI・半導体・データセンター,矛盾・逆説 × 業績サプライズ × 提携・需要変化 × バリュエーション・需給
2026-07-31,kduz9-W_3Y0,東邦亜鉛,,【東邦亜鉛】V字回復でも株価が重い？「新株予約権」による希薄化リスクを徹底検証,475,96,11,22,40,5.0865,0:03:12,40.4,611,12.27,1,資本政策・M&A・ガバナンス,資本政策・M&A・ガバナンス | 資源・素材・製造,矛盾・逆説 × 業績サプライズ
2026-07-28,dTVe7fZeZbc,さくらインターネット,,【さくらインターネット】営業利益12.3億円へ急回復！国策AIインフラの光と「巨額減損リスク」の影,478,160,0,0,0,4.4586,0:01:40,20.9,6034,1.66,1,AI・半導体・データセンター,AI・半導体・データセンター,矛盾・逆説 × 業績サプライズ
2026-07-27,e6JpvlA6f_4,コーエーテクモHD,,【Q1好決算】コーエーテクモHDが上期計画を突破！営業利益率42%の強さとPER16倍からの「株価上昇シナリオ」,539,32,0,0,0,2.0467,0:03:50,42.7,397,6.8,0,消費・IP・小売,消費・IP・小売,業績サプライズ × バリュエーション・需給
2026-07-23,4h2g5wBWqI4,信越化学工業,,"信越化学工業は今買いか？AIウエハ好調の陰に潜む「塩ビ減益43%」と自社株買い2,500億円の真実",587,205,0,0,0,8.1147,0:02:22,24.2,4190,4.25,1,AI・半導体・データセンター,AI・半導体・データセンター | 資源・素材・製造,矛盾・逆説
2026-07-21,ZsiHzy2w60o,,3441,【進捗率113%の衝撃】山王（3441）がフィジカルAIの本命へ！実質PER5倍台の割安度と急落後の底値を徹底解剖,506,82,0,0,0,2.644,0:01:56,22.9,1301,3.23,0,AI・半導体・データセンター,AI・半導体・データセンター,矛盾・逆説 × 業績サプライズ × バリュエーション・需給
2026-07-17,b5judqdZ4eI,ＹＥデジタル,,"【エヌビディア協業】ＹＥデジタルが1,128円から急落した真相！フィジカルAIの本命と「PEG 0.31倍」の投資価値を徹底解剖",703,390,0,0,0,24.8665,0:03:49,32.6,2607,9.78,3,AI・半導体・データセンター,AI・半導体・データセンター | SaaS・IT・DX,矛盾・逆説 × 提携・需要変化
2026-07-16,fGezis2rjZA,サイゼリヤ,,【ストップ高】サイゼリヤがついに値上げへ！PBR4倍への再評価シナリオと「円安依存」の死角を徹底検証,580,33,0,0,0,0.6401,0:01:09,11.9,393,2.54,1,消費・IP・小売,消費・IP・小売,矛盾・逆説 × 急騰・需給 × バリュエーション・需給
2026-07-14,f3GFgdZYHG4,安川電機,,【安川電機】売上10%増も営業利益19%減の深層！ロボット利益82%減の衝撃と基幹システム移行の影を徹底検証,551,69,0,0,0,1.6092,0:01:23,15.1,218,5.5,0,資源・素材・製造,資源・素材・製造,業績サプライズ
2026-07-13,YWrjNeKZBR8,リベルタ,,【リベルタ】猛暑関連テーマの深層！機能性ウェアの成長期待と「新株予約権・信用倍率449倍」の需給リスクを徹底解剖,648,257,0,0,0,17.1688,0:04:00,37.0,2518,8.38,1,資本政策・M&A・ガバナンス,資本政策・M&A・ガバナンス,矛盾・逆説 × バリュエーション・需給
