公開日,動画ID,企業名,証券コード,動画タイトル,主テーマ,フック型
2026-08-20,kckNXVSU1A8,メタプラネット,,"【メタプラネット】純損失1,828億円でも株価16%急騰。BTC評価損は本当に「赤字」なのか？｜STOCK ARENA",未分類,矛盾・逆説 × 急騰・需給
2026-08-19,dfKhr-pVfZ8,Abalance,,【Abalance】ストップ高なのに「監査意見不表明」。営業利益161億円を市場はどう評価すべきか｜STOCK ARENA,未分類,矛盾・逆説 × 業績サプライズ × 急騰・需給
2026-08-18,5b0cN1058sg,北川精機,,【北川精機】次期売上100億円予想で純利益は+8%？PER52倍が織り込む「AI特需」と在庫リスクの真相｜STOCK ARENA,AI・半導体・データセンター,矛盾・逆説 × 業績サプライズ × 提携・需要変化
2026-08-17,enGt0Pp-btg,テラプローブ,,【テラプローブ】最高益予想なのに下落、その夜に売上+62.6%。テラプローブで何が起きている？｜STOCK ARENA,未分類,矛盾・逆説 × 業績サプライズ
2026-08-16,KwYDV3D6qWg,テスホールディングス,,【テスホールディングス】受注残436億円でなぜ株価急落？営業減益を招いた「利益先送り」と信用買残リスク,未分類,矛盾・逆説 × 業績サプライズ × 提携・需要変化
2026-08-14,6G6dxxvN7v4,アシックス,,【アシックス】上方修正で株価急騰！営業利益率22.5%の衝撃と「PER30倍」が織り込む成長シナリオ,未分類,業績サプライズ × 急騰・需給
2026-08-11,YpA8wWTqSQc,シンデン・ハイテックス,,【シンデン・ハイテックス】経常利益6.3倍＆配当235円！PER4.9倍に放置される「借入金急増」のリスクを徹底解剖,未分類,矛盾・逆説 × 業績サプライズ
2026-08-10,vP0QjuBTyf4,タツモ,,【タツモ】営業利益95%減でも受注残は約3倍！株価急落を招いた「検収遅れ」は買い場か、構造的罠か,未分類,矛盾・逆説 × 業績サプライズ × 提携・需要変化
2026-08-07,3ywF6CtsAk8,JDSC,,【JDSC】AWS採択で話題もPER22倍に放置される理由。高粗利AIと低粗利「DM発送代行」の二面性を徹底検証,AI・半導体・データセンター,提携・需要変化 × バリュエーション・需給
2026-08-06,Klgx3o8dnlA,レーザーテック,,【レーザーテック】営業減益でも受注高125.7%増の真実。業績のズレを生む「検収基準」と顧客集中リスク,その他,矛盾・逆説 × 提携・需要変化
2026-08-05,D5PP0Ghhk_g,指月電機,,【指月電機】営業利益30億円へ上方修正！AI特需と「親会社離脱」がもたらす再評価シナリオを徹底検証,AI・半導体・データセンター,業績サプライズ × 提携・需要変化
2026-08-03,Soqxdzul340,スズデン,,【スズデン】経常利益2.4倍・配当利回り7%超。AI半導体特需と高還元株の死角,AI・半導体・データセンター,矛盾・逆説 × 業績サプライズ × 提携・需要変化 × バリュエーション・需給
2026-07-31,kduz9-W_3Y0,東邦亜鉛,,【東邦亜鉛】V字回復でも株価が重い？「新株予約権」による希薄化リスクを徹底検証,資本政策・M&A・ガバナンス,矛盾・逆説 × 業績サプライズ
2026-07-28,dTVe7fZeZbc,さくらインターネット,,【さくらインターネット】営業利益12.3億円へ急回復！国策AIインフラの光と「巨額減損リスク」の影,AI・半導体・データセンター,矛盾・逆説 × 業績サプライズ
2026-07-27,e6JpvlA6f_4,コーエーテクモHD,,【Q1好決算】コーエーテクモHDが上期計画を突破！営業利益率42%の強さとPER16倍からの「株価上昇シナリオ」,消費・IP・小売,業績サプライズ × バリュエーション・需給
2026-07-23,4h2g5wBWqI4,信越化学工業,,"信越化学工業は今買いか？AIウエハ好調の陰に潜む「塩ビ減益43%」と自社株買い2,500億円の真実",AI・半導体・データセンター,矛盾・逆説
2026-07-21,ZsiHzy2w60o,進捗率113%の衝撃,3441,【進捗率113%の衝撃】山王（3441）がフィジカルAIの本命へ！実質PER5倍台の割安度と急落後の底値を徹底解剖,AI・半導体・データセンター,矛盾・逆説 × 業績サプライズ × バリュエーション・需給
2026-07-17,b5judqdZ4eI,ＹＥデジタル,,"【エヌビディア協業】ＹＥデジタルが1,128円から急落した真相！フィジカルAIの本命と「PEG 0.31倍」の投資価値を徹底解剖",AI・半導体・データセンター,矛盾・逆説 × 提携・需要変化
2026-07-16,fGezis2rjZA,サイゼリヤ,,【ストップ高】サイゼリヤがついに値上げへ！PBR4倍への再評価シナリオと「円安依存」の死角を徹底検証,消費・IP・小売,矛盾・逆説 × 急騰・需給 × バリュエーション・需給
2026-07-14,f3GFgdZYHG4,安川電機,,【安川電機】売上10%増も営業利益19%減の深層！ロボット利益82%減の衝撃と基幹システム移行の影を徹底検証,資源・素材・製造,業績サプライズ
2026-07-13,YWrjNeKZBR8,リベルタ,,【リベルタ】猛暑関連テーマの深層！機能性ウェアの成長期待と「新株予約権・信用倍率449倍」の需給リスクを徹底解剖,資本政策・M&A・ガバナンス,矛盾・逆説 × バリュエーション・需給
2026-07-10,FZazL5XS_fw,良品計画,,【良品計画】経常利益990億円の深層！無印良品のグローバル戦略と「中国依存」リスクを徹底解剖,消費・IP・小売,矛盾・逆説 × 業績サプライズ
2026-07-09,1XNo0hTd1Kc,パワーエックス,,【蓄電インフラの本命】パワーエックスの業績ロードマップと信用倍率709倍の需給動向を客観的に解説,原発・エネルギー・再エネ,バリュエーション・需給
2026-07-08,yF5ucLxQLsU,リミックスポイント,,リミックスポイント final video,その他,企業変化・深掘り
2026-07-07,3s24LgNa3B0,放電精密加工研究所,,【放電精密加工研究所】大幅上方修正の深層！防衛・AI特需と今後の株価防衛線を徹底解説,AI・半導体・データセンター,業績サプライズ × 提携・需要変化
2026-07-06,h2mcGEc0hcY,窪田製薬HD,,【窪田製薬HD徹底検証】株価急伸の背景と、特例承認プロセスにおける需給・財務リスクを考察,ヘルスケア,矛盾・逆説 × 急騰・需給
2026-07-03,qvWP9uPmD-Y,AIメカテック,,【AIメカテック徹底検証】業績急成長と信用倍率10.74倍から読み解く株価の現在地,AI・半導体・データセンター,バリュエーション・需給
2026-07-02,7bs6ELSOGFg,任天堂,,【サウジ1.8兆円の衝撃】任天堂の株価反発と誰も語らない「利益率低下」の深層,消費・IP・小売,業績サプライズ × 急騰・需給
2026-07-01,-7RNcKxLsWc,菊池製作所,,菊池製作所の深層：フィジカルAIの熱狂とPER105倍の現実,AI・半導体・データセンター,矛盾・逆説 × バリュエーション・需給
2026-06-30,ss_JrKiSyZw,Link-U,,【大化けAI株】エンジニア不要!? AIコード生成98%の「Link-U」が狙う世界覇権と、TOPIX除外を逆手に取るプロの勝率アップ戦略,AI・半導体・データセンター,企業変化・深掘り
2026-06-29,EXv89Z4tXZ0,ダイナミックマップ,,【次世代AIインフラの本命】粗利率80%超え!? フィジカルAIへと進化するダイナミックマップに、今から乗るための“絶対防衛ライン”,AI・半導体・データセンター,企業変化・深掘り
2026-06-26,9qhfAvXGR1U,アール・エス・シー,,警備会社がフィジカルAIインフラへ大覚醒!? アール・エス・シーの爆上げと、絶対に死守すべき「1060円の絶対防衛ライン」,AI・半導体・データセンター,急騰・需給
2026-06-25,yz_uWHlsIF8,セレス,,ビットバンク売却で55億円の特別利益!? モッピー運営「セレス」の熱狂と、過去のしこり玉が密集する「1805円の壁」のリアル,その他,業績サプライズ
2026-06-24,rSpIRpNrtto,パナソニック,,【祝・万年割安株からの脱却】スーパーキャパシタ量産で急騰のパナソニック！売上1兆円の夢と絶対に死守すべき「3703円の防衛線」,防衛・宇宙・ドローン,急騰・需給 × 提携・需要変化 × バリュエーション・需給
2026-06-23,Jlc-Jtd81o0,サンリオ,,【3期連続最高益】キティ＆クロミ無双で営業利益778億円！世界のサンリオに飛び乗る前に知るべき「818円の岩盤サポート」,消費・IP・小売,業績サプライズ
2026-06-22,q1uDScvMQfg,トライアイズ,,【テンバガー候補】株価500円台の超・原石！トライアイズが描く「AI×老舗企業再生」の夢と、プロが虎視眈々と狙う「第1号M&A」の号砲,AI・半導体・データセンター,企業変化・深掘り
2026-06-19,BTCe24GOWqk,北川精機,,【大化け半導体株】エヌビディア特需で覚醒！世界トップシェア「北川精機」の果てなき成長力と、安全に波に乗るための絶対条件,AI・半導体・データセンター,提携・需要変化
2026-06-18,Z4tzAXpPz0s,北浜キャピタル,,【超低位株の罠】株価20円台の北浜キャピタルが油液浸冷却で爆上げ！プロが警戒する「5.48億株の希薄化と巨額赤字」のリアル,金融・金利,矛盾・逆説 × 急騰・需給
2026-06-17,6LlydS0_23w,三井ハイテック,,【大化け半導体株】AI向け「リードフレーム」特需で爆上げの三井ハイテック！飛び乗る前に知るべき「巨額減損リスク」のリアル,AI・半導体・データセンター,矛盾・逆説 × 急騰・需給 × 提携・需要変化
2026-06-16,1C8YIiELECI,Terra Drone,,【防衛大化け株】迎撃ドローン量産で急騰のTerra Drone！ウクライナ実戦の熱狂と、飛び乗る前に知るべき「96万株の罠」,防衛・宇宙・ドローン,矛盾・逆説 × 急騰・需給 × 提携・需要変化
2026-06-15,7JTpRZ6EAj4,テクニスコ,,【半導体株】株価1048円到達のテクニスコ！飛び乗る前に知っておきたい「PBR6倍の過熱感と薄商いの罠」のリアル,AI・半導体・データセンター,矛盾・逆説 × バリュエーション・需給
2026-06-12,IvAkc1fwzUc,アクセルスペースHD,,【宇宙関連株】PSR18倍の熱狂！アクセルスペースHDに飛び乗る前に知っておきたい「営業赤字38億円と723万株のしこり」のリアル,防衛・宇宙・ドローン,矛盾・逆説
2026-06-11,0rhTdpz0Jyc,三菱UFJ,,【日本株】日銀利上げで爆上げの「三菱UFJ」！純利益2.4兆円の裏でプロが警戒する「下値のメドと2つの死角」,金融・金利,矛盾・逆説 × 業績サプライズ × 急騰・需給
2026-06-09,M64uEXXFdF8,ルネサス,,【半導体株】PER12倍のルネサスは超割安？ 飛び乗る前に知っておきたい「518億円の赤字と米国株ショック」のリアル,AI・半導体・データセンター,矛盾・逆説 × バリュエーション・需給
2026-06-08,0ZIO4anzY5I,,,【宇宙関連株】株価一時4400円超えのQPS！PER320倍の熱狂の裏で、プロがこっそり狙う「2000円の窓埋め」のリアル,防衛・宇宙・ドローン,矛盾・逆説 × バリュエーション・需給
2026-06-06,oI_yFGUHZY0,ローツェ,,【半導体株】株価4500円超えのローツェ！飛び乗る前に知っておきたい「米国訴訟と387億円の在庫リスク」のリアル,AI・半導体・データセンター,矛盾・逆説
2026-06-05,IaCjWJ3vy48,さくらインターネット,,【大化け期待】株価2800円超えのさくらインターネット！飛び乗る前に知っておきたい「赤字転落と200億円の株ばらまき」のリアル,その他,矛盾・逆説
2026-06-04,RGVNMIv9NeA,ispace,,【宇宙関連株】ispaceが急落から反発へ！飛び乗る前に知っておきたい「赤字177億円」のリアル,防衛・宇宙・ドローン,矛盾・逆説 × 急騰・需給
2026-06-03,BuNbDIm2ieg,ニチコン,,【EV減速vsAI爆需】利回り＆収益改善のニチコン！株価3900円超えの熱狂の裏で、プロが狙う「底打ち」の絶対防衛ライン,AI・半導体・データセンター,矛盾・逆説
2026-06-02,FQHJqEfpZz8,豊和工業,,防衛関連株】株価1900円突破の豊和工業が爆上げ中！飛び乗る前にプロがこっそり確認する「もう一つの赤字事業」のリアル,防衛・宇宙・ドローン,矛盾・逆説 × 急騰・需給
2026-06-01,2x5xGIWsYec,富士通,,【日本株】AI＆防衛で急騰の「富士通」！時価総額6.3兆円の覇権企業、ここからさらに波に乗るための「2つの確認ポイント」,AI・半導体・データセンター,急騰・需給
2026-05-29,Gp0dyrxdI_0,フィックスターズ,,フィックスターズって今から買っても間に合う？ 量子コンピューターの熱狂と、安全に利益を狙うための絶対防衛ライン,AI・半導体・データセンター,業績サプライズ
2026-05-28,yB05q6bx2eI,イーディーピー,,【日本株】次世代半導体で+21%急騰の「イーディーピー」！人工ダイヤの大本命、ここからさらに波に乗るための「2つの注意点」,AI・半導体・データセンター,急騰・需給
2026-05-27,WpAYWow2Yuw,大化け期待,,【大化け期待】出来高3791%増で爆上げ中！飛び乗る前にプロがこっそり確認する「15kgから数万トン」の壁とは？,その他,急騰・需給
2026-05-26,PGZEUuam-rA,川崎重工,,【日本株】NVIDIA協業で爆上げの「川崎重工」！AI×防衛の大本命、ここからさらに波に乗るための「2つの注意点」,AI・半導体・データセンター,急騰・需給 × 提携・需要変化
2026-05-25,AJmfMOm5Sls,シンスペクティブ,,【日本株】防衛特需で急騰の「シンスペクティブ」！宇宙の大本命、ここからさらに波に乗るための「1つの注意点」,防衛・宇宙・ドローン,急騰・需給 × 提携・需要変化
2026-05-22,-qTAD9VNJHg,,,【暴落中】ストップ安の「楽天銀行」、大底はどこ？ 悪材料より厄介な「252万株の罠」とプロが狙う反発シナリオ,金融・金利,矛盾・逆説
2026-05-21,aAso_jiDQhQ,ソシオネクスト,,【日本株】NVIDIA特需で+18%急騰の「ソシオネクスト」！AIの大本命、ここからさらに波に乗るための「1つの注意点」,AI・半導体・データセンター,急騰・需給 × 提携・需要変化
2026-05-20,j2uFT1pKGPE,UBE,,【日本株】日経暴落でも+20%急騰の「UBE」！高配当＆宇宙テーマの大本命、ここからさらに波に乗るための「1つの注意点」,防衛・宇宙・ドローン,矛盾・逆説 × 急騰・需給 × バリュエーション・需給
2026-05-19,FdWxDjGBIM4,テスHD,,【日本株/テスHD】1000億円特需でストップ高！大本命の再エネ株、さらなる高値へ向かうための「2つの確認ポイント」,原発・エネルギー・再エネ,急騰・需給 × 提携・需要変化
2026-05-18,DIhEv0TjUkY,関東電化,,【S高】AI特需でストップ高の「関東電化」。でも中身は「たった2社に依存」で超キケン!? 飛びついてはいけないヤバい理由,AI・半導体・データセンター,矛盾・逆説 × 急騰・需給 × 提携・需要変化
2026-05-15,UffIvNL8fLg,荏原製作所,,【荏原製作所】荏原製作所って今買っていいの？ 売上絶好調の裏に隠された「信用買い13倍」の罠【半導体関連株】,AI・半導体・データセンター,矛盾・逆説 × バリュエーション・需給
2026-05-14,of-AvGSADq8,ジャパンディスプレイ,,【決算発表】米国進出で爆上げの「ジャパンディスプレイ」。でも中身は「倒産リスク点灯」で超キケン!? 飛びついてはいけないヤバい理由,その他,矛盾・逆説 × 業績サプライズ × 急騰・需給
2026-05-13,taTgfz1dUAc,インペックス,,【決算/インペックス】上方修正で最終益4500億円へ。利益率50%超の裏に潜む「黄金株リスク」と価格依存の罠を徹底解剖,その他,矛盾・逆説 × 業績サプライズ
2026-05-12,f_G_acY5Jt4,ローム,,【日本株/ローム】決算■最終赤字1584億円でも買われる謎。PER52倍の罠と「会計上のマジック」を徹底解剖,その他,矛盾・逆説 × 業績サプライズ × バリュエーション・需給
2026-05-11,vD5KR4XrkLk,TOWA,,【決算/TOWA】HBM特需でPER50倍も「2割超の減益」の衝撃。信用倍率8倍の罠と次世代技術の脅威を徹底解剖,AI・半導体・データセンター,矛盾・逆説 × 業績サプライズ × 提携・需要変化 × バリュエーション・需給
2026-05-08,pyv1_pwtQg4,太陽誘電,,【決算/太陽誘電】コンセンサス25%未達の衝撃。PER64倍の罠と「スマホ依存」の構造的弱点を徹底解剖,その他,矛盾・逆説 × 業績サプライズ × バリュエーション・需給
2026-05-07,ZzIrT1d2m4g,助川電気,,"【上方修正/助川電気】核融合特需で急騰も「営業CF60%減」の異常事態。PER41倍の罠と信用倍率7,468倍の闇を徹底解剖【Stock Arena】",原発・エネルギー・再エネ,矛盾・逆説 × 業績サプライズ × 急騰・需給 × 提携・需要変化 × バリュエーション・需給
2026-05-01,LRNKHD90ThE,三菱商事,,日本株/三菱商事】純利益1.1兆円予想で急伸も、直近は「15%減益」の現実。伊藤忠との利益率格差と「3.4兆円の減損リスク」を徹底解剖【Stock Arena】,資源・素材・製造,矛盾・逆説 × 業績サプライズ × 急騰・需給
2026-05-01,bU-TYOpKgaQ,SUMCO,,【日本株/SUMCO】AI特需で急騰も「営業利益96%減」の異常事態。PER算出不能の罠と、信越化学との決定的な構造差を徹底解剖【Stock Arena】,AI・半導体・データセンター,矛盾・逆説 × 業績サプライズ × 急騰・需給 × 提携・需要変化 × バリュエーション・需給
2026-04-30,rAAA7glPy5o,村田製作所,,【日本株/村田製作所】AI特需で営業利益+34%の裏側。437億円の巨額減損と「PER32倍の謎」を徹底解剖【Stock Arena】,AI・半導体・データセンター,矛盾・逆説 × 業績サプライズ × 提携・需要変化 × バリュエーション・需給
2026-04-30,eGedfjRrI5w,内外テック,3374,内外テック 3374 T 【日本株/内外テック】半導体特需でストップ高も「手元現金が減る」異常事態。PER17倍の罠と東エレク依存の闇を徹底解剖【Stock Arena】 video,AI・半導体・データセンター,矛盾・逆説 × 急騰・需給 × 提携・需要変化 × バリュエーション・需給
2026-04-29,QhRgPOmgBDU,NECキャピタル,,【NECキャピタル】最高益更新の裏で進む「660億円の赤字」。1兆円の有利子負債と金利上昇の罠を徹底解剖,金融・金利,矛盾・逆説 × 業績サプライズ
2026-04-29,HXCcgOM0Uws,NEC,,NECの深層：最高益でも売られる理由。巨大AI依存のジレンマと「PER15倍」への転落リスク,AI・半導体・データセンター,矛盾・逆説 × 業績サプライズ × バリュエーション・需給
2026-04-28,mbAcnZ8BqBY,関電工,,【関電工】データセンター特需で株価急騰の裏側。PER26倍の異常値と「利益を削る人手不足」の闇を徹底解剖,AI・半導体・データセンター,矛盾・逆説 × 業績サプライズ × 急騰・需給 × 提携・需要変化 × バリュエーション・需給
2026-04-28,jW3y87r-g8k,フジ・メディアHD,,【フジ・メディアHD】純利益71%減の裏側。テレビ事業の「253億円赤字」と、不動産売却に群がるアクティビストの思惑を徹底解剖,資本政策・M&A・ガバナンス,矛盾・逆説 × 業績サプライズ
2026-04-27,8P-YiIGlBjE,ミナトHD,,【ミナトHD】AI特需で急騰も「黒字倒産リスク」浮上？PER9倍の罠と、103億円の借入に潜む財務の闇を徹底解剖,AI・半導体・データセンター,矛盾・逆説 × 急騰・需給 × 提携・需要変化 × バリュエーション・需給
2026-04-27,pHK8uMvoDT4,マクニカHD,,【マクニカHD】NVIDIA特需の裏で進む「利益率急悪化」。経常減益20%に潜む商権剥奪リスクと構造的歪みを徹底解剖,AI・半導体・データセンター,矛盾・逆説 × 業績サプライズ × 提携・需要変化
2026-04-26,dR6SIFXqyLA,河西工業,7256,【河西工業/7256】株価急伸の裏側！日産・イクヨの思惑買いと、自己資本比率5.2%の「倒産リスク」を徹底解剖,その他,矛盾・逆説 × 急騰・需給
2026-04-25,_3EAZlSh5zM,ACSL,,ACSLの深層：前日比12%急伸！ショートカバー相場の光と、PBR25倍に潜む「資金燃焼」の現実,防衛・宇宙・ドローン,矛盾・逆説 × 急騰・需給 × バリュエーション・需給
2026-04-25,-KMuetmIAs0,,,"東京エレクトロンデバイスの深層：利益率1.3%の主力事業。決算前に立ちはだかる「3,400円のしこり玉」",未分類,業績サプライズ
2026-04-24,uULJgUopqWE,日東紡績,3110,【日東紡績/3110】AI半導体シェア100%の熱狂と「一本足打法」の罠。1年で10倍の無重力相場を徹底解剖,AI・半導体・データセンター,矛盾・逆説
2026-04-24,qTIkvUR_ysc,日本ギア,6356,【日本ギア/6356】原発再稼働でストップ高！独占シェア90%の熱狂と「11%減益予想」の罠を徹底解剖,原発・エネルギー・再エネ,矛盾・逆説 × 急騰・需給
2026-04-23,l6jdNIJF3CQ,オプトラン,6235,【オプトラン/6235】光電融合の熱狂と「業績半減」の現実。PER53倍の先食いか、大化けの初動か,AI・半導体・データセンター,矛盾・逆説 × バリュエーション・需給
2026-04-23,SPCRzy8PD3M,ザイン,6769,【ザイン/6769】AI光半導体の熱狂と「最終赤字」の罠。PER計算不能のマネーゲームを徹底解剖,AI・半導体・データセンター,矛盾・逆説 × バリュエーション・需給
2026-04-22,CVCUMNF_koE,テラドローン,278A,【テラドローン/278A】防衛特需で時価総額700億円へ。空のインフラ覇権と「資金枯渇」の罠を徹底解剖,防衛・宇宙・ドローン,矛盾・逆説 × 提携・需要変化
2026-04-22,cuI3UY3v3gI,フジクラ,5803,【フジクラ/5803】時価総額10兆円の熱狂と「PER75倍」の冷徹な現実。生成AI特需か、暴落の始まりか,AI・半導体・データセンター,矛盾・逆説 × 提携・需要変化 × バリュエーション・需給
2026-04-21,Q__n0KC548c,リガク・ホールディングス,,"リガク・ホールディングス：ストップ高の裏側。上値の壁「2,821円」と理論的下値メドを解説",その他,矛盾・逆説 × 急騰・需給
2026-04-21,pHU3663gH1I,梅乃宿酒造,,【IPO解剖】梅乃宿酒造：老舗酒蔵の皮を被った「高収益リキュール工場」。配当利回り3.4%と「VCエグジット」の裏側,消費・IP・小売,矛盾・逆説 × バリュエーション・需給
2026-04-20,KoVVQ_ay2Vg,JX金属,5016,【ＪＸ金属/5016】AI特需でPBR6倍の超プレミアム。裏に潜む「株主希薄化」と巨額投資の呪縛,AI・半導体・データセンター,矛盾・逆説 × 提携・需要変化 × バリュエーション・需給
